"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"23.07.2024","5,5846","5,5789","5,6073","5,5582","","0,12%"
"22.07.2024","5,5779","5,5916","5,6104","5,5353","","-0,31%"
"19.07.2024","5,5952","5,5476","5,6093","5,5210","","0,89%"
"18.07.2024","5,5460","5,4813","5,5901","5,4798","","1,17%"
"17.07.2024","5,4821","5,4286","5,4882","5,4248","","0,99%"
"16.07.2024","5,4286","5,4463","5,4632","5,4053","","-0,30%"
"15.07.2024","5,4448","5,4292","5,4773","5,4292","","0,30%"
"12.07.2024","5,4285","5,4399","5,4661","5,4145","","-0,18%"
"11.07.2024","5,4381","5,4148","5,4539","5,3700","","0,44%"
"10.07.2024","5,4144","5,4223","5,4268","5,3713","","-0,14%"
"09.07.2024","5,4222","5,4700","5,4781","5,4102","","-0,87%"
"08.07.2024","5,4699","5,4600","5,4952","5,4562","","0,20%"
"05.07.2024","5,4592","5,4909","5,5347","5,4560","","-0,54%"
"04.07.2024","5,4887","5,5575","5,5595","5,4655","","-1,22%"
"03.07.2024","5,5563","5,6784","5,6800","5,5402","","-2,14%"
"02.07.2024","5,6777","5,6613","5,7017","5,6279","","0,31%"
"01.07.2024","5,6603","5,5921","5,6645","5,5664","","1,21%"
"28.06.2024","5,5925","5,5024","5,5995","5,4840","","1,65%"
"27.06.2024","5,5019","5,5195","5,5392","5,4830","","-0,32%"
"26.06.2024","5,5194","5,4511","5,5270","5,4504","","1,26%"
"25.06.2024","5,4509","5,3940","5,4566","5,3894","","1,08%"
